"REF_DATE","GEO","DGUID","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1992-03","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.260","","","","3"
"1992-03","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","4.353","","","","3"
"1992-04","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","15.558","","","","3"
"1992-04","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.356","","","","3"
"1992-04","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","9.202","","","","3"
"1992-05","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","15.194","","","","3"
"1992-05","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.104","","","","3"
"1992-05","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","9.090","","","","3"
"1992-06","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","17.650","","","","3"
"1992-06","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.050","","","","3"
"1992-06","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","11.600","","","","3"
"1992-07","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","14.256","","","","3"
"1992-07","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.178","","","","3"
"1992-07","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","8.078","","","","3"
"1992-08","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","11.649","","","","3"
"1992-08","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","5.923","","","","3"
"1992-08","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","5.726","","","","3"
"1992-09","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","15.855","","","","3"
"1992-09","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.101","","","","3"
"1992-09","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","9.754","","","","3"
"1992-10","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","15.107","","","","3"
"1992-10","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.400","","","","3"
"1992-10","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","8.707","","","","3"
