'

"Prov/Terr","FSA","Total","Total income","Net income","Taxable income"
24,"G9P",10210,470394,424885,408756
24,"G9R",1900,105484,93155,88624
24,"G9T",13780,602583,546698,516110
24,"G9X",8920,408517,374817,358975
24,"H0M",1350,10191,8495,6946
24,"H1A",27120,1311615,1185176,1135478
24,"H1B",16490,720275,660395,631164
24,"H1C",11470,599704,543763,527915
24,"H1E",35720,1631657,1503467,1444400
24,"H1G",38220,1367180,1280665,1197649
24,"H1H",28750,1017587,952954,891475
24,"H1J",8690,422902,385969,373024
24,"H1K",28230,1405471,1267096,1220992
24,"H1L",27060,1210834,1106446,1059848
24,"H1M",24360,1194723,1085901,1049223
24,"H1N",19300,866391,790685,758711
24,"H1P",14470,658096,605553,582172
24,"H1R",24070,1036826,954974,918842
24,"H1S",20820,835354,773644,740637
24,"H1T",25080,1262243,1148383,1104523
24,"H1V",17510,870117,791163,757984
24,"H1W",23550,1093647,998865,954423
24,"H1X",24020,1175922,1066501,1020700
24,"H1Y",22860,1317835,1185950,1154456
24,"H1Z",27040,851449,803809,747205
24,"H2A",15280,565625,523984,496852
24,"H2B",13940,642471,585797,559956
24,"H2C",14170,825986,740974,718919
24,"H2E",18460,787319,718392,686777
24,"H2G",17300,968418,873367,847620
24,"H2H",11250,661181,595224,581612
24,"H2J",20820,1454793,1313667,1283629
24,"H2K",22760,1048365,962298,924131
24,"H2L",21700,1274891,1168620,1118039
24,"H2M",15100,827797,745246,724269
24,"H2N",5180,206774,191533,183092
24,"H2P",11330,630697,564257,549937
24,"H2R",18150,1095094,985052,950727
24,"H2S",21640,1297534,1172969,1135325
24,"H2T",12730,786429,715245,689904
24,"H2V",22410,2305643,2128483,2050081
24,"H2W",8510,506672,464268,443856
24,"H2X",15980,747320,692666,659970
24,"H2Y",3080,384624,340725,325622
24,"H2Z",2940,231476,214432,206016
24,"H3A",3750,406858,376713,366927
24,"H3B",15270,509543,490839,345961
24,"H3C",14580,1321007,1196062,1154544
24,"H3E",17610,1755052,1561664,1517393
24,"H3G",8770,948108,865934,820087
24,"H3H",16840,927070,867313,844268
24,"H3J",9240,635389,581642,551734
24,"H3K",12000,780380,716125,670455
24,"H3L",16130,980879,885425,854916
24,"H3M",12360,578937,531589,506911
24,"H3N",23160,672866,640241,591214
24,"H3P",7930,946911,859040,837261
24,"H3R",7760,1115264,1016895,977693
24,"H3S",25320,1113025,1030957,985107
24,"H3T",10040,504918,468836,449848
24,"H3V",5550,246395,226390,216640
24,"H3W",23920,1073145,994988,949916
24,"H3X",18920,1693254,1534375,1472799
24,"H3Y",7550,2250519,2066964,2013952
24,"H3Z",9270,1233484,1121389,1089926
24,"H4A",20300,1592985,1444483,1401685
24,"H4B",16200,806186,736507,706486
24,"H4C",12970,765458,699613,667883
24,"H4E",23920,1063651,972262,931647
24,"H4G",23560,1159414,1055914,1016277
24,"H4H",15340,841398,760082,725029
24,"H4J",13620,565719,519692,488758
24,"H4K",9100,678106,624334,601933
24,"H4L",28770,1205825,1110281,1056414
24,"H4M",9950,569680,519462,501153
24,"H4N",23090,822925,766135,725668
24,"H4P",7300,415703,380814,369826
24,"H4R",23940,1729993,1567086,1523661
24,"H4S",460,62926,58292,55751
24,"H4T",80,32044,31590,30903
24,"H4V",16030,770273,704824,677462
24,"H4W",20230,1392475,1257181,1213578
24,"H4X",5190,484433,434895,424030
24,"H4Y",0,0,0,0
24,"H4Z",0,0,0,0
24,"H5A",0,0,0,0
24,"H5B",80,7987,7175,7094
24,"H7A",16950,855913,780356,757330
24,"H7B",2240,118108,106430,103605
24,"H7C",6670,322002,295360,285183
24,"H7E",21640,1416919,1275007,1245693
24,"H7G",17670,848252,773113,744805
24,"H7H",11010,598215,538393,527009
24,"H7J",2140,124541,113906,111445
24,"H7K",18620,1086030,974276,953115
24,"H7L",30090,1804952,1608909,1573287
24,"H7M",23920,1228797,1113655,1083893
24,"H7N",35370,1620795,1481002,1427021
24,"H7P",30070,1645615,1486081,1450775
24,"H7R",24330,1313641,1186545,1153963
24,"H7S",6260,286736,262669,253600
24,"H7T",23320,1188301,1079055,1045065
24,"H7V",19480,738442,687515,648039
24,"H7W",34870,1532864,1415328,1353644
24,"H7X",22100,1358758,1227127,1197226
24,"H7Y",7760,613136,549716,540295
24,"H8N",27120,1115824,1029889,995450
24,"H8P",18320,923575,841784,814951
24,"H8R",24110,994788,917334,875842
24,"H8S",19680,860892,792395,752285
24,"H8T",11850,769522,688322,672313
24,"H8Y",15270,736626,671987,649286
24,"H8Z",12370,587534,536115,520435
24,"H9A",12380,875194,787946,764782
24,"H9B",16980,882745,801889,777597
24,"H9C",9680,669401,600958,587071
24,"H9E",2600,210776,189210,184195
24,"H9G",12640,723834,652989,636188
24,"H9H",20430,1459052,1350756,1030053
24,"H9J",17940,1135967,1024608,997031
24,"H9K",7140,458822,411615,402028
24,"H9P",3210,154101,141369,138315
24,"H9R",20670,1272333,1144264,1119977
24,"H9S",18770,1400490,1269463,1223411
24,"H9W",15450,1623845,1461789,1405991
24,"H9X",7850,689280,621176,606354
24,"J0A",15850,737917,673412,643434
24,"J0B",53970,2687676,2449332,2337470
24,"J0C",19440,856870,787696,753760
24,"J0E",44060,2388367,2160138,2073244
24,"J0G",15850,703604,646352,609050
24,"J0H",43620,2059478,1889524,1806052
24,"J0J",36120,1769444,1621826,1547170
24,"J0K",125180,5499385,5035019,4784273
24,"J0L",73200,3579113,3259340,3153218
24,"J0M",14780,413030,389631,334336
24,"J0N",31230,1649288,1491125,1452346
24,"J0P",35170,2073463,1881029,1812224
24,"J0R",33390,2174874,1948917,1888866
24,"J0S",28290,1342512,1231002,1167911
24,"J0T",42970,2246290,2051603,1969735
24,"J0V",22940,1010625,923160,879304
24,"J0W",14460,589817,543634,509537
24,"J0X",37880,1779403,1636528,1562876
24,"J0Y",22630,1431983,1331229,980327
24,"J0Z",27830,1363384,1256541,1199545
24,"J1A",7740,332095,306250,292841
24,"J1C",5500,278867,251681,242077
24,"J1E",20270,830671,763981,726231
24,"J1G",16320,730848,664399,630834
24,"J1H",22210,845738,782879,731574
24,"J1J",12570,771062,689467,668290
24,"J1K",5700,249898,227464,218481
24,"J1L",13980,697108,633340,613563
